12,チコたん,最強候補のチャージャー使い。チャージャーなのにもかかわらず、安定感が非常に高い。特にスプラスコープの練度が非常に高い。
13,ちょこぺろ,"スプラ2界最強の呼び声高いプレイヤー。前ルール同時XP3000, XP3100, フェスパワー3000などガチマッチにおける圧倒的な実績を誇る。立ち回り、キル力ともに異次元で、かつ、まだ若いため将来が非常に楽しみなプレイヤー。"
14,てぃらみす,マイナーブキである525ケルビンデコの全1プレイヤー。非常に癖の強いこのブキを使いこなし、前線として圧倒的な破壊力を持っている。
15,トド,トップクラスのボトルガイザー使い。積極的に前に出てキルを拾う攻撃的なプレイングが魅力。
16,ねっぴー,トップレベルのスシコラ使い。スプラトゥーン2ではもっぱら動画配信者の色が強い。
17,ぱいなぽー,環境としては向かい風のロングブラスターを使うプレイヤー。直撃精度の高さから「直撃のぱいなぽー」と呼ばれる。台パン発狂の第一人者。
18,バズ,スプスピ、ノーチラスの全1プレイヤー。第5回スプラトゥーン甲子園では「Another」というチームで決勝ではストレートで優勝を決めている。
19,反射神経,クワッドホッパー使いの全1プレイヤーとして知られている。その名に恥じない反射神経の持ち主で大会でもオールキルを決めるシーンが非常に印象に残る。
20,はんじょう,スプラローラーの全1プレイヤー。マイナーブキのローラーで数多くの大会を優勝してきている。それだけでなくエンターテイナーとしての側面も非常に評価されており、動画配信者としても非常に人気がある。
21,ひいらぎ,スプラシューターを主に使う前線プレイヤー。視野が広く、大会などでの声出し、報告が非常に目立つ司令塔的なポジション。
22,ぴょん,元プロチーム「Libalent Calamari」に所属するプレイヤー。「全ての試合がキル集」と言われる、最強のチャージャー使い。視点が非常に安定しており、「ぴょんの視点はほぼ100%動画にできる」とも言われている。
23,ふみとし,パブロ全1とも称されることの多いプレイヤー。パブロが本来得意とするチャー後衛が減り、苦手な前線シューターが増えている中、ヘイトを買いつつ、カバーにも回る立ち回りの上手さが別格。
24,ぼむα,元「Pixio monster」で主にシューター系統を使用していたプレイヤー。Xランキングでも1位経験もあり、とくにスシコラの練度が非常に高い。
25,まぎえーす,ハイドラントカスタム、バレルスピナーを主に使用するスピナーの申し子。的確なエイムと高いキャラコントロール技術によってスピナーとは思えない軽快な動きでキルを量産する。
26,みみっきゅ,最強候補のチャージャー使い。チャージャーで唯一XP3000を達成しており、前線に出てキルを取る点が特徴。
27,ミリンケーキ,環境によってさまざまなブキを持ちかえるマルチウェポナー。パラシェルターが強化されてからはパラシェルターを使う印象が強い。
28,メロン,現環境最強ブキである52ガロンを最高レベルで使いこなす52ガロン全1プレイヤー。現在まだ中学生であることから将来が有望視されている。
29,ゆゆし,全1ラピッドブラスターベッチュー使い。メインとサブの練度が非常に高く、扱いの難しいラピッドブラスターベッチューでキルを連発する。特に本来苦手とする近距離のさばき方が非常にうまく隙がない。
30,りうくん,スプラ2初のXP3000を弱体化前のクーゲルシュライバーヒューで達成している最強プレイヤー候補の一人。主に中後衛の持ち替えの幅が広く、ジェットスイーパー、デュアルスイーパーなども最強レベルで使いこなしている。
31,リオラ,XP2900のノヴァブラスター使い。「～の…教えます」から始まる動画が印象的。スプラ初中級者向けの動画を多く出しており、配信者としての色が強い。
32,りるりーる,全1H3リールガン使い。H3リールガンの練度は非常に高く、特に大会などでの指示出しをしつつ、対面でも圧倒できるプレイングが魅力。
33,るす,全1ジェットスイーパー、黒ザップ使い。圧倒的な安定感を誇り、非常にデスの少ない立ち回りが魅力的。特にジェットスイーパーを持った際の開幕のハイパープレッサーの精度が非常に高く、初動の有利状況を作るのが上手い。
34,れんたな,全1バケットスロッシャー使い。最強。環境的には逆風であるバケットスロッシャーを使い、XP3000も達成しており、前線でのキル力と生存力が圧倒的。スプラ2No1前線プレイヤーと評されることも多い。
